"The Creative Independent",online,curture,"アメリカのクラウドファンディングサービスKickstarterを母体に、創造する人々のコミュニティを養い、成長させることを目的地したコンテンツを発表するウェブメディア。
作家、ミュージシャン、デザイナー、ビジュアルアーティストなどの現役アーティストが語る、クリエイティブな生活の試練と苦難を明らかにするインタビュー、知恵、ガイドを作成しています。",https://thecreativeindependent.com/
"Cafe OTO",euro,venue,"イギリス・ロンドンにある、主流の外に存在する創造的な新しい音楽の家。
日夜、実験的で冒険的なライブイベントを開催し、日中は、カフェ・貸しスペースを営業。その他、デジタル・フィジカル形態で、イベントの記録を出版。
その他、Cafe OTOのサービスをより楽しむことができる様々なメンバーシップ制度を提供しています。",https://www.cafeoto.co.uk/
"ISSUE Project Room",us,venue,"2003年に設立されたニューヨーク・ブルックリンを拠点とする先駆的なパフォーマンスを実施するイベント会場。
芸術的実践の境界を広げ、より広いコミュニティで批判的な対話を刺激する。音、動き、映画、パフォーマンス、文学にまたがる多様なアーティストを紹介しています。
ニューヨークを拠点とするアーティストをサポートするレジデンスプログラム、キュレーターをサポートするプログラムなど、イベント開催以外にも、過小評価されているアーティストや活動に目を向けることを目標とした数多くのプログラムを実施しています。
",https://issueprojectroom.org/
"Blank Forms",us,venue,ニューヨーク・ブルックリンを拠点に、実験音楽、パフォーマンス、ダンス、サウンドアートなど、さまざまな表現を扱い、実験的な活動を行う、新興の過小評価されているアーティストを支援することを目的とした非営利団体が運営するイベント会場。,https://blankforms.org/
"The Middler",us,art,ニューヨーク・ブルックリンのアパートの一室にあるアポイントメント制ギャラリー,http://themiddler.com/
"Gern en Regalia",us,art,"ニューヨーク・イーストブロードウェイにあるAeon bookstoreの裏（奥？）にあるアポイントメント制アーティスト・ラン・スペース。",http://gernenregalia.com/
AeonBookstore,us,book,"ニューヨーク・イーストビレッジにある中古本・レコード屋。店内の裏（奥？）には、アポイントメント制アーティスト・ラン・スペース Gern en Regalia があります。
",https://www.aeonbookstore.com/
"Printed Matter",us,book,"世界中のアートブック・ジンを取り扱うニューヨークの書店。NY Art Book Fair／LA Art Book Fairを主催。その他、世界中でArt Book Fairを開催し、実験的で冒険的なアートブック・ジンの普及する活動を行っています。",https://www.printedmatter.org/
Mayhem,euro,venue,"デンマーク・コペンハーゲンにある、極端で実験的な芸術のためのスペース。
開放性を確保するために、人種差別、性差別、同性愛嫌悪、トランスフォビア、その他の不快な行動は容認せず、聴衆に親切にすること、つまりきちんとすることを求めます。 ",http://mayhemkbh.dk/
SILO,euro,venue,"言葉、散文、エッセイなど文章を取り扱う表現を探求するスペース。
ウェブサイト、印刷物、音など様々な形態で、実験的な活動を行っています。",https://s-i-l-o.fr/
"2727 California",us,curture,カリフォルニア・バークレーにある、美術教育のためのスペース。ショップ、アーティスト・イン・レジデンス・プログラム、パブリック・プリント・ルーム、ワークショップ・シリーズ、サマーキャンプなどを実施しています。,https://2727.today/
LOYAL,euro,art,"スウェーデン・ストックホルムにある現代美術ギャラリー。
Martin Lilja、Kristian Bengtsson、Amy Giuntaを中心とした同名の雑誌をきっかけに、ギャラリーは共同創設者のMartin LiljaとAmy Giuntaによって運営されています。
",https://www.loyalgallery.com/
SPECIES,us,art,"ジョージア州アトランタにあるアポイントメント制アーティスト・ラン・スペース。
2018年閉館。ウェブデザインは、Beautiful Companyが担当。",http://inter-species.us/
